team,name,number,position,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
PFC,Lukas MacNaughton,6,d,Lukas,MacNaughton,180,136,115,82.4,1,0.0,0,1,1,4,1,4,0,1,0,15,8,5,1,0,0,0,2,0,0,0,0
PFC,Marcel de Jong,17,d,Marcel,de Jong,78,67,37,0.0,11,0.0,0,2,0,2,1,0,2,0,0,4,0,3,2,0,0,0,0,0,0,0,0
PFC,Marco Bustos,10,m,Marco,Bustos,173,101,63,87.5,9,20.0,1,2,1,4,2,4,0,0,0,18,12,0,0,1,0,7,3,0,0,0,0
PFC,Matthew Baldisimo,8,m,Matthew,Baldisimo,170,107,86,72.9,0,0.0,0,1,0,1,1,0,1,10,8,25,12,0,2,1,0,1,5,0,0,0,0
PFC,Noah Verhoeven,19,m,Noah,Verhoeven,64,30,27,81.5,1,0.0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
PFC,Nolan Wirth,1,g,Nolan,Wirth,180,81,62,66.7,0,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,6,3,0,0
PFC,Sean Young,20,m,Sean,Young,10,8,3,66.7,0,0.0,0,0,0,2,1,2,0,1,0,3,3,0,0,0,0,1,0,0,0,0,0
PFC,Terran Campbell,14,f,Terran,Campbell,140,44,20,85.7,3,0.0,0,1,0,3,0,2,1,5,4,17,6,1,0,0,0,1,3,0,0,0,0
PFC,Thomas Meilleur-Giguère,26,d,Thomas,Meilleur-Giguère,180,117,99,93.2,0,0.0,0,0,0,2,1,2,0,0,0,6,2,5,5,0,0,0,0,0,0,0,0
PFC,Victor Blasco,23,m,Victor,Blasco,162,115,65,67.9,12,33.3,1,5,0,3,0,2,1,3,2,29,15,1,1,1,0,4,4,0,0,0,0
PFC,Zachary Verhoven,16,m,Zach,Verhoven,44,37,17,63.6,4,100.0,1,2,1,2,1,1,1,1,1,11,7,0,0,0,0,1,0,0,0,0,0
VFC,Andrew Jean-Baptiste,35,d,Andrew,Jean-Baptiste,180,104,83,82.9,0,0.0,0,0,1,1,1,1,0,0,0,12,5,8,4,0,0,3,6,0,0,0,0
VFC,Arnold Bouka Moutou,29,d,Arnold,Bouka Moutou,65,33,17,52.9,2,0.0,0,0,0,0,0,0,0,2,1,10,5,0,1,0,0,2,1,0,0,0,0
VFC,Austin Ricci,9,f,Austin,Ricci,78,22,9,77.8,0,0.0,0,0,0,4,3,4,0,0,0,7,2,0,0,1,0,2,2,0,0,0,0
VFC,Brett Levis,17,m,Brett,Levis,180,119,77,76.7,3,100.0,1,2,0,1,1,1,0,3,2,20,10,1,5,0,0,2,2,0,0,0,0
VFC,Dante Campbell,48,m,Dante,Campbell,72,28,21,71.4,0,0.0,0,0,0,0,0,0,0,2,2,9,2,1,0,1,0,0,4,0,0,0,0
VFC,Daryl Fordyce,16,f,Daryl,Fordyce,45,19,13,61.5,1,0.0,0,0,0,2,0,1,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0
VFC,Diego Gutiérrez,8,m,Diego,Gutiérrez,108,90,72,81.3,3,0.0,0,2,0,1,0,0,1,2,1,12,7,1,2,0,0,3,1,0,0,0,0
VFC,Dylan Carreiro,10,m,Dylan,Carreiro,87,30,20,81.8,1,0.0,0,1,1,4,2,1,3,1,0,5,2,0,0,0,0,1,0,0,0,0,0
VFC,Federico Peña,77,f,Federico,Peña,24,20,12,91.7,1,0.0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0
VFC,Fraser Aird,33,m,Fraser,Aird,157,98,65,68.0,7,0.0,0,4,1,3,2,1,2,1,1,13,3,1,0,2,0,2,5,0,0,0,0
