team,name,Min,ExpG,ExpA,Goal,PsOnHfFl,SucflDuels,Touches,DuelLs,SucflTkls,Int,DefTouch,Clrnce,Recovery,TchsM3,Aerials
Edmonton,Mélé Temguia,90,0.0,0.0,0,5,4,50,0,1,1,2,0,8,14,1
Edmonton,Mélé Temguia,90,0.66,0.0,1,3,3,50,3,1,3,6,2,5,20,3
Edmonton,Mélé Temguia,90,0.0,0.0,0,4,2,42,3,1,3,7,2,3,11,0
Edmonton,Mélé Temguia,90,0.04,0.51,0,5,4,42,4,3,1,5,1,5,12,0
Edmonton,Mélé Temguia,90,0.79,0.0,1,4,8,39,3,1,4,11,4,4,16,5
Edmonton,Mélé Temguia,90,0.0,0.0,0,2,2,37,2,1,0,3,1,2,11,0
Edmonton,Mélé Temguia,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Jonathan Grant,90,0.04,0.0,0,4,6,80,8,5,1,8,2,3,39,2
Forge,Jonathan Grant,90,0.0,0.03,0,3,9,76,5,6,1,10,3,7,18,3
Forge,Jonathan Grant,90,0.0,0.76,0,5,3,72,7,3,1,4,0,6,32,1
Forge,Jonathan Grant,90,0.0,0.0,0,1,5,70,7,0,0,2,1,2,32,1
Forge,Jonathan Grant,80,0.26,0.0,0,2,7,62,4,1,3,6,1,1,37,3
Forge,Jonathan Grant,78,0.15,0.0,0,4,4,61,9,3,1,6,0,3,20,2
Forge,Jonathan Grant,90,0.0,0.43,0,2,5,54,8,0,1,4,2,3,18,2
Forge,Jonathan Grant,90,0.07,0.03,1,2,5,50,8,1,1,8,5,5,23,3
Forge,Jonathan Grant,70,0.0,0.05,0,6,6,45,6,2,2,8,1,3,14,2
Forge,Jonathan Grant,60,0.0,0.0,0,3,3,20,6,0,0,0,0,1,2,2
Forge,Jonathan Grant,26,0.06,0.03,0,0,4,18,2,1,1,3,0,5,7,1
Forge,Jonathan Grant,15,0.0,0.0,0,1,1,17,1,0,0,0,0,1,4,1
Forge,Jonathan Grant,13,0.0,0.0,0,1,0,10,0,0,1,1,0,0,8,0
Pacific,Sachdev Grewal,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Sachdev Grewal,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Forge,Dominic Samuel,90,0.0,0.0,0,1,6,80,5,1,3,4,0,4,51,0
Forge,Dominic Samuel,90,0.03,0.0,0,4,3,77,8,1,2,6,2,3,47,4
Forge,Dominic Samuel,90,0.0,0.0,0,4,3,72,3,1,0,5,3,6,35,0
Forge,Dominic Samuel,90,0.0,0.03,0,5,7,68,3,2,2,10,3,5,23,0
Forge,Dominic Samuel,89,0.0,0.0,0,4,5,66,2,2,2,6,2,4,39,1
Forge,Dominic Samuel,90,0.0,0.0,0,3,9,63,3,3,0,10,6,0,20,6
Forge,Dominic Samuel,90,0.0,0.0,0,3,7,63,1,1,3,11,7,7,30,1
Forge,Dominic Samuel,90,0.0,0.0,0,5,3,62,5,1,2,15,11,5,11,3
Forge,Dominic Samuel,90,0.0,0.0,0,6,8,62,6,1,0,7,4,7,21,5
Forge,Dominic Samuel,90,0.0,0.0,0,5,8,61,1,3,3,9,2,5,27,4
Forge,Dominic Samuel,90,0.0,0.0,0,1,2,60,0,0,1,1,0,1,28,1
Forge,Dominic Samuel,90,0.0,0.0,0,7,5,59,2,1,0,7,5,5,28,4
Forge,Dominic Samuel,71,0.0,0.05,0,2,11,58,12,4,0,6,1,6,28,4
Forge,Dominic Samuel,90,0.02,0.0,0,4,9,57,4,0,0,2,1,5,17,4
Forge,Dominic Samuel,76,0.0,0.04,0,0,5,56,7,1,0,3,1,4,31,4
Forge,Dominic Samuel,77,0.0,0.02,0,1,4,54,3,1,3,5,0,3,32,2
Forge,Dominic Samuel,90,0.0,0.0,0,2,6,50,1,0,0,4,2,4,27,1
Forge,Dominic Samuel,90,0.0,0.0,0,3,5,47,5,2,2,7,3,2,24,5
Forge,Dominic Samuel,90,0.0,0.23,0,0,3,46,4,1,0,3,2,3,30,2
Forge,Dominic Samuel,90,0.0,0.0,0,4,0,44,2,0,1,8,7,8,18,1
Forge,Dominic Samuel,90,0.0,0.0,0,5,1,44,1,0,2,8,6,6,19,2
Forge,Dominic Samuel,90,0.0,0.0,0,4,8,42,6,3,1,8,2,3,13,1
Forge,Dominic Samuel,62,0.0,0.0,0,5,2,40,3,0,3,5,2,5,29,0
Forge,Dominic Samuel,90,0.0,0.0,0,2,2,34,6,1,1,4,2,5,14,3
Forge,Dominic Samuel,45,0.0,0.0,0,2,2,34,3,0,0,1,1,4,18,2
Forge,Dominic Samuel,3,0.0,0.0,0,0,1,4,0,0,0,0,0,0,4,0
Cavalry,Jonathan Wheeldon,90,0.3,0.0,0,5,2,80,0,0,1,4,3,2,25,2
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,0,1,79,2,1,0,3,2,3,15,2
Cavalry,Jonathan Wheeldon,90,0.06,0.0,0,1,4,69,0,0,1,3,2,9,18,3
Cavalry,Jonathan Wheeldon,90,0.06,0.0,0,2,4,65,6,0,1,4,3,5,38,7
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,1,4,64,3,2,0,2,0,6,27,3
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,0,2,63,3,1,3,5,1,5,11,1
Cavalry,Jonathan Wheeldon,90,0.21,0.0,0,1,7,63,4,1,0,6,5,5,16,9
Cavalry,Jonathan Wheeldon,79,0.0,0.0,0,2,5,56,2,2,1,8,5,3,15,5
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,0,5,54,5,1,1,9,7,1,7,6
Cavalry,Jonathan Wheeldon,90,0.06,0.0,0,1,7,53,4,0,0,7,7,1,16,8
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,4,0,45,3,0,0,7,7,4,7,1
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,2,8,45,1,3,0,11,5,3,11,2
Cavalry,Jonathan Wheeldon,90,0.0,0.07,0,4,4,44,3,0,3,7,3,4,16,6
Cavalry,Jonathan Wheeldon,81,0.0,0.0,0,4,3,42,0,0,0,3,2,1,11,3
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,3,4,34,3,0,0,1,1,3,15,5
Cavalry,Jonathan Wheeldon,90,0.0,0.0,0,2,2,33,2,0,2,12,10,3,8,2
Cavalry,Jonathan Wheeldon,45,0.05,0.0,0,3,2,29,2,0,1,7,5,2,9,3
Cavalry,Jonathan Wheeldon,32,0.0,0.0,0,2,2,17,0,1,0,4,3,2,8,1
Cavalry,Jonathan Wheeldon,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry,Jonathan Wheeldon,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry,Jonathan Wheeldon,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cavalry,Jonathan Wheeldon,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific,Kadin Chung,90,0.03,0.0,0,2,5,78,4,3,2,6,1,8,30,2
Pacific,Kadin Chung,90,0.03,0.06,0,2,5,76,7,0,2,7,5,5,33,3
Pacific,Kadin Chung,90,0.06,0.16,0,3,8,76,4,0,1,4,1,8,33,3
Pacific,Kadin Chung,90,0.04,0.0,0,5,7,73,1,3,4,12,4,8,29,1
Pacific,Kadin Chung,90,0.0,0.0,0,2,1,72,6,0,1,6,5,6,25,3
Pacific,Kadin Chung,90,0.05,0.03,0,3,3,71,4,2,0,4,2,12,22,2
Pacific,Kadin Chung,90,0.0,0.08,0,1,6,71,4,3,1,7,1,2,39,0
Pacific,Kadin Chung,90,0.0,0.06,0,1,8,70,2,3,4,11,3,7,35,3
Pacific,Kadin Chung,90,0.0,0.0,0,2,4,68,6,2,0,3,1,4,27,0
Pacific,Kadin Chung,90,0.0,0.06,0,8,7,67,6,3,1,6,2,6,19,0
Pacific,Kadin Chung,90,0.0,0.0,0,2,5,66,4,3,0,5,0,5,28,0
Pacific,Kadin Chung,90,0.0,0.14,0,6,3,61,7,1,2,7,4,8,22,5
Pacific,Kadin Chung,90,0.0,0.03,0,4,7,60,6,2,0,3,0,6,31,4
