team,name,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,PsAtt,PsOnHfScs,PsOpHfScs,Touches,DuelLs,SucflDuels,TcklMade%
York9,Joseph Di Chiara,10,0.0,0.0,0,0,0,0,0,11,7,3,14,0,0,-
York9,Joseph Di Chiara,11,0.0,0.0,0,0,0,0,0,12,2,8,13,0,1,-
Edmonton,Tony Tchani,90,0.09,0.0,0,0,0,0,0,70,19,39,85,7,10,66.7%
Edmonton,Tony Tchani,45,0.0,0.0,0,0,0,0,0,30,11,9,38,4,1,-
Edmonton,Tony Tchani,35,0.11,0.0,0,0,0,0,0,21,4,10,32,4,7,-
Edmonton,Tony Tchani,18,0.26,0.05,0,0,0,0,0,10,6,3,16,1,3,50.0%
Edmonton,Tony Tchani,4,0.0,0.0,0,0,0,0,0,11,6,4,14,0,2,-
Edmonton,James Marcelin,90,0.02,0.07,0,0,0,0,0,69,34,25,83,5,4,-
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,64,40,15,81,4,6,50.0%
Edmonton,James Marcelin,90,0.0,0.03,0,0,0,0,0,66,31,20,76,4,3,-
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,57,41,14,70,3,3,33.3%
Edmonton,James Marcelin,90,0.0,0.05,0,0,0,0,0,54,35,10,62,3,5,100.0%
Edmonton,James Marcelin,90,0.05,0.0,0,0,0,0,0,49,38,2,62,2,3,100.0%
Edmonton,James Marcelin,90,0.03,0.0,0,0,0,0,0,44,22,17,61,5,4,50.0%
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,54,28,12,60,1,4,-
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,46,32,6,56,3,2,50.0%
Edmonton,James Marcelin,89,0.03,0.03,0,0,0,0,0,50,27,17,55,2,2,50.0%
Edmonton,James Marcelin,90,0.0,0.45,0,0,0,0,0,44,15,23,55,4,5,75.0%
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,38,15,13,55,5,11,71.4%
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,40,16,14,52,5,6,100.0%
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,34,19,6,52,6,6,-
Edmonton,James Marcelin,90,0.0,0.0,0,0,0,0,0,36,18,5,48,1,4,100.0%
Edmonton,James Marcelin,84,0.0,0.0,0,0,0,0,0,34,16,15,43,8,4,33.3%
Edmonton,James Marcelin,90,0.08,0.0,0,0,0,0,0,28,14,10,42,6,7,75.0%
Edmonton,James Marcelin,90,0.05,0.03,0,0,0,0,0,27,7,14,42,8,9,0.0%
Edmonton,James Marcelin,60,0.0,0.0,0,0,0,0,0,19,11,4,31,2,2,-
Edmonton,James Marcelin,13,0.0,0.0,0,0,0,0,0,15,5,8,17,1,1,-
Edmonton,James Marcelin,12,0.0,0.0,0,0,0,0,0,5,3,2,5,0,0,-
Edmonton,James Marcelin,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Edmonton,James Marcelin,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Forge,Luke Iacobellis,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
Forge,Luke Iacobellis,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-
York9,Ryan Telfer,90,0.78,0.93,0,0,0,0,0,41,10,21,83,5,11,100.0%
York9,Ryan Telfer,90,0.7,0.24,2,0,0,1,0,43,7,27,77,3,13,100.0%
York9,Ryan Telfer,90,0.11,0.0,0,0,0,0,0,47,25,14,75,10,3,50.0%
York9,Ryan Telfer,90,0.06,0.13,0,0,0,0,0,40,13,21,72,8,10,100.0%
York9,Ryan Telfer,90,0.03,0.09,0,0,0,0,0,51,23,18,71,2,5,60.0%
York9,Ryan Telfer,90,0.0,0.47,0,0,0,0,0,37,15,13,68,8,9,83.3%
York9,Ryan Telfer,90,0.16,0.36,0,0,0,0,0,33,8,18,68,7,14,100.0%
York9,Ryan Telfer,90,0.19,0.31,0,0,0,0,0,35,12,16,67,5,11,33.3%
York9,Ryan Telfer,90,0.1,0.0,0,0,0,0,0,33,6,18,66,8,12,88.9%
York9,Ryan Telfer,90,0.45,0.09,0,0,0,0,0,39,8,22,66,8,6,100.0%
York9,Ryan Telfer,90,0.23,0.23,0,0,0,0,0,27,10,9,65,10,11,50.0%
York9,Ryan Telfer,90,0.17,0.79,0,0,0,0,0,38,9,18,65,10,7,33.3%
York9,Ryan Telfer,90,0.11,0.19,0,0,0,0,0,35,12,14,64,3,7,100.0%
York9,Ryan Telfer,90,0.03,0.03,0,0,0,0,0,32,9,13,62,10,12,66.7%
York9,Ryan Telfer,90,0.2,0.42,0,0,0,0,0,42,16,20,61,3,5,-
York9,Ryan Telfer,90,0.12,0.14,1,0,0,0,0,30,1,22,61,14,7,100.0%
